Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
100,C,Naypyitaw,Normal,Male,Food and beverages,21.03,8,8.412,176.652,06-29-2019,18,,168.23999999999998,4.761904762,8.412,7.3
101,B,Yangon,Member,Female,Fashion accessories,61.42,10,30.71,644.91,04-19-2019,14,Credit card,614.1999999999999,4.761904762,30.71,7.9
102,A,Naypyitaw,Normal,Female,Sports and travel,82.18,5,20.545,431.445,05-19-2019,9,Credit card,410.9,4.761904762,20.545,6
103,C,Yangon,Normal,Male,Sports and travel,18.5,3,2.775,58.275,04-14-2019,13,Ewallet,55.5,4.761904762,2.775,5.8
104,C,Naypyitaw,Member,Male,Food and beverages,15.94,4,3.188,66.948,04-24-2019,16,Cash,63.75999999999999,4.761904762,3.188,9.8
105,B,Mandalay,Member,Male,Electronic accessories,64.72,4,12.944,271.824,04-14-2019,9,Ewallet,258.88,4.761904762,12.944,3.7
106,A,Naypyitaw,Normal,Male,Food and beverages,32.48,10,16.24,341.04,04-25-2019,21,Credit card,324.8,4.761904762,16.24,3.1
107,C,Naypyitaw,Member,Male,Home and lifestyle,38.91,7,13.6185,285.9885,06-20-2019,19,Cash,272.37,4.761904762,13.6185,9.9
108,B,Mandalay,Member,Female,Food and beverages,20.55,10,10.275,215.775,05-22-2019,18,Cash,205.5,4.761904762,10.275,8.2
109,A,Yangon,Member,Male,Health and beauty,35.07,1,1.7535,36.8235,05-12-2019,20,Cash,35.07,4.761904762,1.7535,4.7
110,B,Yangon,Member,Female,Fashion accessories,77.7,6,23.31,489.51,04-21-2019,21,Credit card,466.2,4.761904762,23.31,7.8
111,B,Mandalay,Normal,Female,Food and beverages,77.05,7,26.9675,566.3175,05-28-2019,17,Cash,539.35,4.761904762,26.9675,6.6
112,B,Yangon,Normal,Male,Home and lifestyle,46.42,9,20.889,438.669,06-21-2019,16,Cash,417.78,4.761904762,20.889,7.7
113,A,Naypyitaw,Normal,Male,Home and lifestyle,51.13,9,23.0085,483.1785,04-10-2019,21,Credit card,460.16999999999996,4.761904762,23.0085,6.8
114,C,Mandalay,Member,Female,Electronic accessories,50.77,8,20.308,426.468,06-12-2019,10,Ewallet,406.16,4.761904762,20.308,5.7
115,B,Mandalay,Normal,Male,Food and beverages,53.19,1,2.6595,55.8495,06-06-2019,11,,53.19,4.761904762,2.6595,7.3
116,C,Yangon,Member,Female,Sports and travel,23.58,6,7.074,148.554,05-07-2019,20,Cash,141.48,4.761904762,7.074,6.2
117,A,Naypyitaw,Member,Male,Health and beauty,91.59,8,36.636,769.356,06-27-2019,16,Ewallet,732.72,4.761904762,36.636,6.4
118,B,Mandalay,Normal,Male,Electronic accessories,46.87,5,11.7175,246.0675,04-07-2019,9,Cash,234.35,4.761904762,11.7175,5.6
119,C,Mandalay,Normal,Female,Fashion accessories,3.29,10,1.645,34.545,06-27-2019,17,Cash,32.9,4.761904762,1.645,8.9
120,A,Yangon,Normal,Male,Sports and travel,7.57,6,2.271,47.691,06-17-2019,18,Cash,45.42,4.761904762,2.271,6.7
121,C,Mandalay,Normal,Female,Sports and travel,29.8,4,5.96,125.16,04-16-2019,14,Cash,119.2,4.761904762,5.96,5.8
122,B,Naypyitaw,Member,Male,Sports and travel,17.09,2,1.709,35.889,04-15-2019,13,,34.18,4.761904762,1.709,1.2
123,B,Yangon,Member,Male,Food and beverages,69.75,1,3.4875,73.2375,05-02-2019,16,Credit card,69.75,4.761904762,3.4875,7.1
124,B,Yangon,Normal,Female,Fashion accessories,72.94,10,36.47,765.87,06-09-2019,21,,729.4,4.761904762,36.47,6.2
125,C,Mandalay,Member,Female,Electronic accessories,48.48,5,12.12,254.52,04-11-2019,11,Cash,242.4,4.761904762,12.12,4.3
126,A,Yangon,Normal,Female,Fashion accessories,45.35,9,20.4075,428.5575,04-27-2019,12,Credit card,408.15,4.761904762,20.4075,2.2
